City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
133,Tignere,CM,2019-11-10 05:51:19,7.37,12.65,70.97,62,96,2.91,overcast clouds,0.0,0.0
134,Ternate,PH,2019-11-10 05:50:38,14.29,120.72,86.0,66,75,8.05,broken clouds,0.0,0.0
135,Sassandra,CI,2019-11-10 05:51:21,4.95,-6.09,74.41,94,2,5.06,light rain,0.88,0.0
136,Rock Sound,BS,2019-11-10 05:51:21,24.9,-76.2,75.6,75,25,15.75,scattered clouds,0.0,0.0
137,Forestville,CA,2019-11-10 05:46:45,48.74,-69.09,30.2,58,90,19.46,overcast clouds,0.0,0.0
138,Norman Wells,CA,2019-11-10 05:51:22,65.28,-126.83,-11.21,83,20,4.7,few clouds,0.0,0.0
139,Khatanga,RU,2019-11-10 05:51:22,71.98,102.47,-1.36,96,100,15.84,light snow,0.0,0.63
140,Mahebourg,MU,2019-11-10 05:51:23,-20.41,57.7,80.6,65,75,6.93,broken clouds,0.0,0.0
141,Necochea,AR,2019-11-10 05:51:24,-38.55,-58.74,39.99,89,0,1.99,clear sky,0.0,0.0
142,Nanortalik,GL,2019-11-10 05:51:25,60.14,-45.24,34.54,82,83,6.96,light snow,0.0,0.56
143,Cidreira,BR,2019-11-10 05:50:28,-30.17,-50.22,70.45,91,99,17.72,light rain,2.5,0.0
144,Adrar,DZ,2019-11-10 05:51:25,27.87,-0.29,46.4,39,0,8.05,clear sky,0.0,0.0
145,Kulhudhuffushi,MV,2019-11-10 05:48:20,6.62,73.07,82.08,66,0,3.11,clear sky,0.0,0.0
146,Mount Isa,AU,2019-11-10 05:51:26,-20.73,139.49,91.4,7,67,6.93,broken clouds,0.0,0.0
147,San Pedro De Tutule,HN,2019-11-10 05:51:27,14.25,-87.86,61.57,87,75,7.56,broken clouds,0.0,0.0
148,Mar Del Plata,AR,2019-11-10 05:51:28,-46.43,-67.52,47.73,71,99,16.44,overcast clouds,0.0,0.0
149,Lebu,ET,2019-11-10 05:51:28,8.96,38.73,60.8,51,4,2.24,clear sky,0.0,0.0
150,Geraldton,CA,2019-11-10 05:51:28,49.72,-86.95,14.0,92,90,4.7,light snow,0.0,0.0
151,Victoriaville,CA,2019-11-10 05:51:29,46.06,-71.95,34.0,64,90,24.16,overcast clouds,0.0,0.0
152,Torbay,CA,2019-11-10 05:51:29,47.66,-52.73,32.0,58,40,8.05,scattered clouds,0.0,0.0
153,Richards Bay,ZA,2019-11-10 05:51:30,-28.77,32.06,70.14,78,61,19.17,broken clouds,0.0,0.0
154,Jamestown,AU,2019-11-10 05:51:30,-33.21,138.6,75.81,13,0,9.84,clear sky,0.0,0.0
155,Kuching,MY,2019-11-10 05:50:56,1.56,110.34,91.4,59,75,5.82,broken clouds,0.0,0.0
156,Usogorsk,RU,2019-11-10 05:51:31,63.43,48.71,18.61,93,100,8.01,light snow,0.0,0.94
157,Dubti,ET,2019-11-10 05:51:31,11.74,41.09,80.33,53,0,7.07,clear sky,0.0,0.0
158,Marzuq,YE,2019-11-10 05:51:32,14.4,46.47,74.64,32,0,0.87,clear sky,0.0,0.0
159,Cape Town,ZA,2019-11-10 05:51:19,-33.93,18.42,64.4,82,79,8.05,broken clouds,0.0,0.0
160,Samarai,PG,2019-11-10 05:51:33,-10.62,150.67,79.23,82,95,7.76,light rain,0.75,0.0
161,Troitsk,RU,2019-11-10 05:51:33,54.08,61.55,18.07,80,31,6.53,scattered clouds,0.0,0.0
162,Kargasok,RU,2019-11-10 05:51:33,59.06,80.87,12.09,88,100,6.8,overcast clouds,0.0,0.0
163,Jumla,NP,2019-11-10 05:51:34,29.28,82.18,59.23,23,0,5.7,clear sky,0.0,0.0
164,Batabano,CU,2019-11-10 05:51:35,22.72,-82.29,75.2,100,75,4.7,broken clouds,0.0,0.0
165,Sao Mateus,BR,2019-11-10 05:50:55,-18.72,-39.86,68.2,96,19,2.37,few clouds,0.0,0.0
166,Cayenne,GF,2019-11-10 05:51:12,4.94,-52.33,77.0,94,9,3.49,clear sky,0.0,0.0
167,Montlucon,FR,2019-11-10 05:51:36,46.33,2.6,39.99,96,99,1.99,light rain,1.44,0.0
168,Cedar City,US,2019-11-10 05:51:23,37.68,-113.06,37.4,29,1,1.9,clear sky,0.0,0.0
169,New Norfolk,AU,2019-11-10 05:49:35,-42.78,147.06,62.01,48,75,10.29,broken clouds,0.0,0.0
170,Lorengau,PG,2019-11-10 05:51:40,-2.02,147.27,81.01,81,100,18.81,moderate rain,5.94,0.0
171,Hovd,NO,2019-11-10 05:51:41,63.83,10.7,25.0,85,75,6.93,broken clouds,0.0,0.0
172,Loiza,PR,2019-11-10 05:51:41,18.43,-65.88,81.0,88,20,7.49,few clouds,0.0,0.0
173,Claremont,US,2019-11-10 05:51:42,34.1,-117.72,72.0,13,1,4.7,clear sky,0.0,0.0
174,Bredasdorp,ZA,2019-11-10 05:51:43,-34.53,20.04,66.99,77,97,16.11,overcast clouds,0.0,0.0
175,Nome,US,2019-11-10 05:51:43,30.04,-94.42,48.2,93,1,1.81,clear sky,0.0,0.0
176,Flinders,AU,2019-11-10 05:51:44,-34.58,150.85,71.6,37,40,10.29,scattered clouds,0.0,0.0
177,Victoria,BN,2019-11-10 05:51:44,5.28,115.24,87.8,66,75,5.82,broken clouds,0.0,0.0
178,Grindavik,IS,2019-11-10 05:51:45,63.84,-22.43,42.8,81,75,21.92,broken clouds,0.0,0.0
179,Kaitangata,NZ,2019-11-10 05:51:45,-46.28,169.85,51.01,74,80,10.0,broken clouds,0.0,0.0
180,Poso,ID,2019-11-10 05:51:45,-1.4,120.75,74.39,71,100,3.44,light rain,0.13,0.0
181,Kruisfontein,ZA,2019-11-10 05:51:46,-34.0,24.73,62.24,86,97,15.84,light rain,0.19,0.0
182,Brae,GB,2019-11-10 05:51:46,60.4,-1.35,39.2,57,37,4.7,scattered clouds,0.0,0.0
183,Ormara,PK,2019-11-10 05:50:49,25.21,64.64,77.67,48,77,3.44,broken clouds,0.0,0.0
184,Sarkand,KZ,2019-11-10 05:51:47,45.41,79.91,47.16,43,100,2.98,overcast clouds,0.0,0.0
185,Inta,RU,2019-11-10 05:51:48,66.04,60.13,0.52,92,16,2.01,few clouds,0.0,0.0
186,Aniva,RU,2019-11-10 05:51:48,46.71,142.53,35.6,47,20,8.95,few clouds,0.0,0.0
187,Soubre,CI,2019-11-10 05:51:48,5.79,-6.61,70.29,99,19,1.81,few clouds,0.0,0.0
188,Bambous Virieux,MU,2019-11-10 05:51:49,-20.34,57.76,80.6,65,75,6.93,broken clouds,0.0,0.0
189,Inirida,CO,2019-11-10 05:51:50,3.87,-67.92,73.17,93,42,1.81,scattered clouds,0.0,0.0
