City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Maniitsoq,GL,2019-11-06 03:48:31,65.42,-52.9,30.78,77,96,8.48
241,Sangar,RU,2019-11-06 03:48:31,63.92,127.47,-10.68,93,100,10.0
242,Bubaque,GW,2019-11-06 03:48:32,11.28,-15.83,84.24,75,100,11.81
243,Ishigaki,JP,2019-11-06 03:48:32,24.34,124.16,77.0,61,40,20.8
244,Amposta,ES,2019-11-06 03:48:33,40.71,0.58,55.99,54,33,10.29
245,Bilma,NE,2019-11-06 03:48:33,18.69,12.92,71.38,23,0,0.63
246,Arlit,NE,2019-11-06 03:48:34,18.74,7.39,82.65,13,0,7.63
247,San Patricio,PY,2019-11-06 03:48:34,-26.98,-56.83,69.66,88,0,8.3
248,Teguldet,RU,2019-11-06 03:48:35,57.31,88.17,28.26,86,100,15.59
249,Swan River,CA,2019-11-06 03:48:35,52.11,-101.27,12.22,86,96,7.63
250,Turukhansk,RU,2019-11-06 03:48:36,65.8,87.96,18.66,94,100,9.57
251,Bredasdorp,ZA,2019-11-06 03:48:36,-34.53,20.04,66.99,87,100,5.1
252,Tasiilaq,GL,2019-11-06 03:48:36,65.61,-37.64,32.0,71,100,32.21
253,Christchurch,NZ,2019-11-06 03:45:02,-43.53,172.64,62.01,87,100,9.17
254,Worland,US,2019-11-06 03:48:37,44.02,-107.96,36.0,86,1,3.69
255,Khatanga,RU,2019-11-06 03:48:38,71.98,102.47,-5.66,82,0,11.9
256,Caucaia,BR,2019-11-06 03:48:38,-3.73,-38.66,80.6,74,75,13.87
257,Kailua,US,2019-11-06 03:48:39,21.39,-157.74,80.6,74,75,5.82
258,Kijang,KR,2019-11-06 03:48:39,35.24,129.21,64.4,36,0,4.7
259,Tual,ID,2019-11-06 03:48:39,-5.67,132.75,81.75,71,100,12.46
260,Batabano,CU,2019-11-06 03:48:40,22.72,-82.29,75.2,88,20,4.7
261,Zhangye,CN,2019-11-06 03:48:40,38.94,100.46,49.73,36,100,1.81
262,Antsohihy,MG,2019-11-06 03:48:41,-14.88,47.99,77.49,63,100,8.43
263,Wenchi,GH,2019-11-06 03:48:41,7.74,-2.1,71.85,88,100,2.8
264,Belyy Yar,RU,2019-11-06 03:48:42,53.6,91.39,26.6,100,79,2.24
265,Liverpool,GB,2019-11-06 03:43:53,53.41,-2.98,44.01,100,90,2.24
266,Dicabisagan,PH,2019-11-06 03:48:42,17.08,122.42,78.6,89,100,10.74
267,Tigil,RU,2019-11-06 03:48:43,57.8,158.67,41.32,71,0,24.58
268,Sambava,MG,2019-11-06 03:48:43,-14.27,50.17,72.32,85,100,2.77
269,Oranjestad,AW,2019-11-06 03:48:44,12.52,-70.03,84.2,79,20,14.99
270,Jutai,BR,2019-11-06 03:48:44,-1.71,-47.89,74.26,90,0,2.77
271,Acari,BR,2019-11-06 03:48:45,-6.44,-36.64,67.44,87,0,24.72
272,Kamenka,MD,2019-11-06 03:48:45,48.03,28.7,48.0,79,3,9.26
273,The Valley,AI,2019-11-06 03:46:48,18.22,-63.06,82.4,74,40,12.75
274,Consolacion Del Sur,CU,2019-11-06 03:48:46,22.5,-83.51,72.75,93,0,5.08
275,Ust-Kuyga,RU,2019-11-06 03:48:46,70.0,135.55,-5.55,98,99,1.57
276,Cofradia,MX,2019-11-06 03:48:47,20.03,-103.55,66.2,72,90,0.49
277,San Policarpo,PH,2019-11-06 03:48:47,12.18,125.51,86.4,65,0,4.92
278,Ribeira Grande,PT,2019-11-06 03:48:48,38.52,-28.7,58.39,72,100,5.37
279,Kiunga,PG,2019-11-06 03:48:49,-6.12,141.3,92.55,49,100,1.54
280,Totness,US,2019-11-06 03:48:50,33.74,-80.8,64.99,93,1,4.72
281,Slave Lake,CA,2019-11-06 03:48:50,55.28,-114.77,15.8,78,90,5.82
282,Jennings,AU,2019-11-06 03:48:51,-28.93,151.93,78.01,17,0,1.01
283,Pueblo Nuevo,AR,2019-11-06 03:48:52,-32.93,-68.73,66.2,48,20,8.05
284,Mweka,CD,2019-11-06 03:48:52,-4.85,21.56,69.8,98,100,3.49
285,Marzuq,YE,2019-11-06 03:48:53,14.4,46.47,59.49,61,0,0.96
286,Conakry,GN,2019-11-06 03:44:52,9.52,-13.7,80.62,83,100,4.76
287,Solnechnyy,RU,2019-11-06 03:48:54,50.72,136.64,27.61,70,95,3.96
288,San Rafael Del Sur,NI,2019-11-06 03:48:55,11.85,-86.44,77.0,88,20,4.7
289,La Rochelle,FR,2019-11-06 03:48:55,46.16,-1.15,53.6,81,16,17.22
290,Buturlino,RU,2019-11-06 03:48:55,55.57,44.9,47.73,84,67,17.16
291,Cidreira,BR,2019-11-06 03:48:56,-30.17,-50.22,67.06,79,100,8.99
292,Nyurba,RU,2019-11-06 03:48:56,63.29,118.35,-5.64,84,0,3.22
293,Jalu,LY,2019-11-06 03:48:57,29.03,21.55,65.95,41,0,4.54
294,General Roca,AR,2019-11-06 03:48:57,-39.03,-67.58,59.0,51,0,2.24
295,Soe,EE,2019-11-06 03:48:58,57.91,26.05,32.0,90,100,3.36
296,Zabaykalsk,CN,2019-11-06 03:48:58,49.64,117.33,25.88,38,55,14.79
297,Binga,ZW,2019-11-06 03:48:59,-17.62,27.34,76.84,53,15,10.67
298,Sijunjung,ID,2019-11-06 03:48:59,-0.69,100.95,83.14,53,100,1.83
299,Kataysk,RU,2019-11-06 03:48:59,56.29,62.58,36.14,94,100,10.0
300,Dingle,PH,2019-11-06 03:49:00,11.0,122.67,85.12,72,92,15.84
301,Isangel,VU,2019-11-06 03:49:01,-19.55,169.27,84.2,58,75,6.93
302,Makat,KZ,2019-11-06 03:49:01,47.65,53.35,33.03,43,99,14.67
303,Rio Grande,BR,2019-11-06 03:49:02,-32.03,-52.1,53.01,97,0,10.76
304,Namibe,AO,2019-11-06 03:49:02,-15.19,12.15,73.72,81,100,5.21
305,Bamako,ML,2019-11-06 03:47:12,12.65,-8.0,69.8,88,20,3.49
